run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,72000,0.5034965034965035,2,0.25,0,0.0,0.05,95,64.0,0.6736842105263158,0.3263157894736842
1,pilot,72000,0.5034965034965035,2,0.25,1,0.05,0.1,359,302.0,0.841225626740947,0.15877437325905297
1,pilot,72000,0.5034965034965035,2,0.25,2,0.1,0.2,796,696.0,0.8743718592964824,0.12562814070351758
1,pilot,72000,0.5034965034965035,2,0.25,3,0.2,0.4,1410,1312.0,0.9304964539007092,0.06950354609929077
1,pilot,72000,0.5034965034965035,2,0.25,4,0.4,1.01,1948,1934.0,0.9928131416837782,0.007186858316221789
1,pilot,72000,0.5034965034965035,2,0.5,0,0.0,0.05,95,46.0,0.4842105263157895,0.5157894736842106
1,pilot,72000,0.5034965034965035,2,0.5,1,0.05,0.1,359,242.0,0.6740947075208914,0.3259052924791086
1,pilot,72000,0.5034965034965035,2,0.5,2,0.1,0.2,796,589.0,0.7399497487437185,0.26005025125628145
1,pilot,72000,0.5034965034965035,2,0.5,3,0.2,0.4,1410,1190.0,0.8439716312056738,0.15602836879432624
1,pilot,72000,0.5034965034965035,2,0.5,4,0.4,1.01,1948,1896.0,0.973305954825462,0.026694045174537995
